id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
4821,JOLLITY-104,"Semi-precious Stones: Marble, Hematite Other materials: Brass Chain: 18K Gold-Plated Stainless Steel collar Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 24cm",https://www.precious-joy.com/product/jollity-104/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4821,https://www.precious-joy.com/wp-content/uploads/JOLLITY-104b.jpg,"in stock","65 EUR",,,jollity-104,,,New,
4816,JOLLITY-101,"Semi-precious Stones: Marble Other materials: Brass, Silk tassels Chain: Pink Bronze Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 43cm",https://www.precious-joy.com/product/jollity-101/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4816,https://www.precious-joy.com/wp-content/uploads/JOLLITY-101c.jpg,"in stock","75 EUR",,,jollity-101,,,New,
4807,JOLLITY-100,"Semi-precious Stones: Marble, Mother of Pearl Other materials: Brass, Polymer Clay Chain: Pink Bronze Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 38cm",https://www.precious-joy.com/product/jollity-100/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4807,https://www.precious-joy.com/wp-content/uploads/JOLLITY-100c.jpg,"in stock","80 EUR",,,jollity-100,,,New,
4802,JOLLITY-103,"Semi-precious Stones: Jade, Marble Other materials: Glass, Brass Chain: Gold-plated Aluminum Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 43cm",https://www.precious-joy.com/product/jollity-103/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4802,https://www.precious-joy.com/wp-content/uploads/JOLLITY-103c.jpg,"in stock","70 EUR",,,jollity-103,,,New,
4798,JOLLITY-102,"Semi-precious Stones: Dalmatian Jasper Other materials: Glass, Brass, Polymer Clay Chain: Gold-plated Aluminum Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 43cm",https://www.precious-joy.com/product/jollity-102/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4798,https://www.precious-joy.com/wp-content/uploads/JOLLITY-102a.jpg,"in stock","70 EUR",,,jollity-102,,,New,
4792,LAVISH-104,"Semi-precious Stones: Jade, Dalmatian Jasper, Hematite Other materials: Glass, Brass, Silk tassels Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 40cm",https://www.precious-joy.com/product/lavish-104/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4792,https://www.precious-joy.com/wp-content/uploads/LAVISH-104c.jpg,"in stock","130 EUR",,,lavish-104,,,New,
4786,VERVE-102,"Semi-precious Stones: Hematite, Howlite Other materials: Glass, Brass Chain: Handmade 18K Gold-Plated Stainless Steel Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 26cm",https://www.precious-joy.com/product/verve-102/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4786,https://www.precious-joy.com/wp-content/uploads/VERVE-102b.jpg,"in stock","65 EUR",,,verve-102,,,New,
4781,VERVE-101,"Semi-precious Stones: Hematite, Cat’s Eye Other materials: Brass, Silk tassels Chain: Nude Bronze Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 46cm",https://www.precious-joy.com/product/verve-101/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4781,https://www.precious-joy.com/wp-content/uploads/VERVE-101c.jpg,"in stock","65 EUR",,,verve-101,,,New,
4776,VERVE-100,"Semi-precious Stones: Goldstone, Rainbow Veins Other materials: Brass, Silk tassels Chain: Pink Bronze Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 41cm",https://www.precious-joy.com/product/verve-100/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4776,https://www.precious-joy.com/wp-content/uploads/VERVE-100b.jpg,"in stock","70 EUR",,,verve-100,,,New,
4772,VERVE-103,"Semi-precious Stones: Goldstone Other materials: Brass, Silk tassel Chain: 18K Gold-Plated Stainless-Steel collar Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 28cm",https://www.precious-joy.com/product/verve-103/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4772,https://www.precious-joy.com/wp-content/uploads/VERVE-103b.jpg,"in stock","60 EUR",,,verve-103,,,New,
